"record_type","timestamp","symbol","side","entry_price","exit_price","size","gross_pnl","commission","net_pnl","duration_sec","reason","win_rate","regime","order_id","order_type","price","strength","filters_passed","executed","status","fill_price","fill_size","execution_time_ms","slippage","event_type","data"
"orders","2025-12-22T21:18:30.451986","ETH-USDT","buy","","","0.08200000","","","","","","","","3151966112767868928","limit","2985.46000000","","","","placed","","","","","",""
"orders","2025-12-22T21:28:36.972759","ETH-USDT","buy","","","0.08200000","","","","","","","","3151986464470401024","limit","2991.82000000","","","","placed","","","","","",""
"orders","2025-12-22T21:35:01.522879","BTC-USDT","buy","","","0.00270000","","","","","","","","3151999368263434240","limit","88430.60000000","","","","placed","","","","","",""
"orders","2025-12-22T21:48:12.494734","ETH-USDT","buy","","","0.08200000","","","","","","","","3152025909416493056","limit","2989.90000000","","","","placed","","","","","",""
"orders","2025-12-22T21:51:00.393954","BTC-USDT","buy","","","0.00270000","","","","","","","","3152031545017565184","limit","88318.20000000","","","","placed","","","","","",""
"orders","2025-12-22T21:54:48.785825","ETH-USDT","buy","","","0.08200000","","","","","","","","3152039206534578176","limit","2985.11000000","","","","placed","","","","","",""
"orders","2025-12-22T22:09:20.669387","BTC-USDT","buy","","","0.00270000","","","","","","","","3152068462174076928","limit","88171.90000000","","","","placed","","","","","",""
"orders","2025-12-22T22:13:33.702756","ETH-USDT","buy","","","0.08200000","","","","","","","","3152076951546036224","limit","2982.65000000","","","","placed","","","","","",""
"orders","2025-12-22T22:31:25.640994","ETH-USDT","buy","","","0.08200000","","","","","","","","3152112920118755328","limit","2991.67000000","","","","placed","","","","","",""
"orders","2025-12-22T22:37:30.562974","ETH-USDT","buy","","","0.08200000","","","","","","","","3152125165137625088","limit","2989.01000000","","","","placed","","","","","",""
"orders","2025-12-22T22:49:36.413003","BTC-USDT","buy","","","0.00270000","","","","","","","","3152149519380578304","limit","88459.70000000","","","","placed","","","","","",""
"orders","2025-12-23T00:06:52.818202","ETH-USDT","buy","","","0.08300000","","","","","","","","3152305091417538560","limit","3004.81000000","","","","placed","","","","","",""
"orders","2025-12-23T00:59:41.513894","BTC-USDT","buy","","","0.00270000","","","","","","","","3152411415648206848","limit","88745.00000000","","","","placed","","","","","",""
"orders","2025-12-23T01:28:27.030092","BTC-USDT","buy","","","0.00270000","","","","","","","","3152469314659483648","limit","88549.20000000","","","","placed","","","","","",""
"orders","2025-12-23T18:09:12.304642","BTC-USDT","buy","","","0.00270000","","","","","","","","3154484100125495296","limit","87434.60000000","","","","placed","","","","","",""
