"record_type","timestamp","symbol","side","entry_price","exit_price","size","gross_pnl","commission","net_pnl","duration_sec","reason","win_rate","regime","order_id","order_type","price","strength","filters_passed","executed","status","fill_price","fill_size","execution_time_ms","slippage","event_type","data"
"signals","2025-12-22T21:18:24.105227","ETH-USDT","buy","","","","","","","","","","ranging","","","2985.22000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:19:40.525467","ETH-USDT","buy","","","","","","","","","","ranging","","","2985.45000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:21:04.063408","ETH-USDT","buy","","","","","","","","","","ranging","","","2985.26000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:22:07.653243","ETH-USDT","buy","","","","","","","","","","ranging","","","2985.29000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:23:11.018944","ETH-USDT","buy","","","","","","","","","","ranging","","","2984.66000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:24:12.961580","ETH-USDT","buy","","","","","","","","","","ranging","","","2987.65000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:25:17.300365","ETH-USDT","buy","","","","","","","","","","ranging","","","2989.36000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:26:24.133820","ETH-USDT","buy","","","","","","","","","","ranging","","","2991.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:27:06.047895","BTC-USDT","buy","","","","","","","","","","ranging","","","88366.50000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:27:26.936607","ETH-USDT","buy","","","","","","","","","","ranging","","","2991.95000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:28:09.308084","BTC-USDT","buy","","","","","","","","","","ranging","","","88399.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:28:30.324174","ETH-USDT","buy","","","","","","","","","","ranging","","","2991.81000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:29:16.098591","BTC-USDT","buy","","","","","","","","","","ranging","","","88392.80000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:29:43.639674","ETH-USDT","buy","","","","","","","","","","ranging","","","2992.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:30:20.571756","BTC-USDT","buy","","","","","","","","","","ranging","","","88390.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:30:54.636405","ETH-USDT","buy","","","","","","","","","","ranging","","","2993.47000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:31:28.403133","BTC-USDT","buy","","","","","","","","","","ranging","","","88438.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:32:02.902790","ETH-USDT","buy","","","","","","","","","","ranging","","","2992.39000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:32:32.093556","BTC-USDT","buy","","","","","","","","","","ranging","","","88407.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:33:12.546912","ETH-USDT","buy","","","","","","","","","","ranging","","","2992.24000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:33:43.051051","BTC-USDT","buy","","","","","","","","","","ranging","","","88435.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:34:22.170262","ETH-USDT","buy","","","","","","","","","","ranging","","","2992.25000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:34:54.120831","BTC-USDT","buy","","","","","","","","","","ranging","","","88430.60000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:35:30.909782","ETH-USDT","buy","","","","","","","","","","ranging","","","2990.67000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:35:54.433520","BTC-USDT","buy","","","","","","","","","","ranging","","","88404.40000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:36:41.847256","ETH-USDT","buy","","","","","","","","","","ranging","","","2989.74000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:37:06.061240","BTC-USDT","buy","","","","","","","","","","ranging","","","88391.30000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:37:54.078347","ETH-USDT","buy","","","","","","","","","","ranging","","","2990.87000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:38:18.003372","BTC-USDT","buy","","","","","","","","","","ranging","","","88455.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:39:05.308559","ETH-USDT","buy","","","","","","","","","","ranging","","","2993.62000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:39:29.272184","BTC-USDT","buy","","","","","","","","","","ranging","","","88480.10000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:40:17.299227","ETH-USDT","buy","","","","","","","","","","ranging","","","2994.99000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:40:31.321237","BTC-USDT","buy","","","","","","","","","","ranging","","","88530.00000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:41:29.120786","ETH-USDT","buy","","","","","","","","","","ranging","","","2994.90000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:41:47.091638","BTC-USDT","buy","","","","","","","","","","ranging","","","88569.80000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:42:40.662904","ETH-USDT","buy","","","","","","","","","","ranging","","","2995.81000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
"signals","2025-12-22T21:43:02.369353","BTC-USDT","buy","","","","","","","","","","ranging","","","88550.70000000","1.0000","ADX,MTF,Correlation,PivotPoints,VolumeProfile,Liquidity,OrderFlow,FundingRate","0","","","","","","",""
