symbol,metric,count,sample_timestamps
BTC,open_events,1,
BTC,tsl_check_total,7677,
BTC,tsl_price_zero,7640,2026-01-10 02:22:39;2026-01-10 02:22:39;2026-01-10 02:22:44;2026-01-10 02:22:48;2026-01-10 02:22:49;2026-01-10 02:22:54;2026-01-10 02:22:58;2026-01-10 02:22:59;2026-01-10 02:23:04;2026-01-10 02:23:09
DOGE,open_events,1,
DOGE,tsl_check_total,5444,
DOGE,tsl_price_zero,5414,2026-01-10 03:22:40;2026-01-10 03:22:45;2026-01-10 03:22:50;2026-01-10 03:22:55;2026-01-10 03:22:58;2026-01-10 03:23:00;2026-01-10 03:23:05;2026-01-10 03:23:10;2026-01-10 03:23:15;2026-01-10 03:23:18
ETH,open_events,1,
ETH,tsl_check_total,7613,
ETH,tsl_price_zero,7548,2026-01-10 02:28:02;2026-01-10 02:28:07;2026-01-10 02:28:12;2026-01-10 02:28:12;2026-01-10 02:28:17;2026-01-10 02:28:22;2026-01-10 02:28:25;2026-01-10 02:28:27;2026-01-10 02:28:32;2026-01-10 02:28:36
SOL,open_events,1,
SOL,tsl_check_total,6166,
SOL,tsl_price_zero,6138,2026-01-10 03:58:17;2026-01-10 03:58:22;2026-01-10 03:58:22;2026-01-10 03:58:27;2026-01-10 03:58:32;2026-01-10 03:58:37;2026-01-10 03:58:42;2026-01-10 03:58:44;2026-01-10 03:58:47;2026-01-10 03:58:52
XRP,open_events,2,
XRP,tsl_check_total,6926,
XRP,tsl_price_zero,6862,2026-01-10 03:09:47;2026-01-10 03:09:48;2026-01-10 03:09:53;2026-01-10 03:09:58;2026-01-10 03:10:03;2026-01-10 03:10:05;2026-01-10 03:10:08;2026-01-10 03:10:13;2026-01-10 03:10:18;2026-01-10 03:10:23
XRP,loss_cut_blocked,31,2026-01-10 02:03:10;2026-01-10 02:03:15;2026-01-10 02:03:15;2026-01-10 02:03:20;2026-01-10 02:03:24;2026-01-10 02:03:25;2026-01-10 02:03:30;2026-01-10 02:03:34;2026-01-10 02:03:35;2026-01-10 02:03:40
ALL,ssl_errors,110,
ALL,stale_ws_price,14,
ALL,liq_guard_balance_fail,31,
ALL,position_manager_balance_fail,11,
ALL,tcc_update_state_fail,3,
