symbol,regime,category,name,count,min,max,mean,values
BTC,ranging,indicator,price,5477,90364.7,90466.5,90392.83414277888,
BTC,ranging,indicator,RSI,5477,27.13,45.41,35.03057878400585,
BTC,ranging,indicator,MACD,5477,-28.7994,-11.0828,-26.381257549753514,
BTC,ranging,indicator,MACD_signal,5477,-20.583,-2.3452,-19.536876629541723,
BTC,ranging,indicator,MACD_hist,5477,-8.7376,-0.1152,-6.844380335950338,
BTC,ranging,indicator,ATR,5477,15.95,27.11,17.69121781997444,
BTC,ranging,indicator,EMA12,5477,90408.79,90481.49,90415.87372831842,
BTC,ranging,indicator,EMA26,5477,90436.08,90495.0,90440.6556527296,
BTC,ranging,indicator,BB_upper,5477,90494.18,90552.38,90497.12642687601,
BTC,ranging,indicator,BB_middle,5477,90438.31,90501.06,90442.34456454264,
BTC,ranging,indicator,BB_lower,5477,90380.14,90449.75,90387.57221471608,
BTC,ranging,indicator,ADX,5370,25.59,79.16,57.4584469273743,
BTC,ranging,indicator,+DI,5370,4.2,88.74,71.42754748603352,
BTC,ranging,indicator,-DI,5370,11.26,95.8,28.572452513966482,
BTC,trending,indicator,price,18,90450.0,90453.2,90450.21666666667,
BTC,trending,indicator,RSI,18,41.11,41.25,41.22555555555555,
BTC,trending,indicator,MACD,18,-15.1573,-14.5794,-15.098116666666666,
BTC,trending,indicator,MACD_signal,18,-11.2077,-7.9027,-10.968655555555555,
BTC,trending,indicator,MACD_hist,18,-6.6767,-3.9431,-4.129416666666667,
BTC,trending,indicator,ADX,18,27.99,36.21,31.741666666666667,
BTC,trending,indicator,+DI,18,8.14,27.18,25.75,
BTC,trending,indicator,-DI,18,72.82,91.86,74.25,
BTC,trending,indicator,ATR,18,19.6,22.03,19.818333333333335,
BTC,trending,indicator,EMA12,18,90462.8,90469.43,90463.33388888888,
BTC,trending,indicator,EMA26,18,90477.67,90485.05,90478.23777777777,
BTC,trending,indicator,BB_upper,18,90542.98,90549.76,90543.54499999998,
BTC,trending,indicator,BB_middle,18,90484.9,90492.9,90485.54277777778,
BTC,trending,indicator,BB_lower,18,90426.82,90436.05,90427.54555555555,
DOGE,ranging,indicator,price,5495,0.14,0.14,0.14,
DOGE,ranging,indicator,RSI,5495,18.78,34.39,32.84929936305733,
DOGE,ranging,indicator,MACD,5495,-0.0001,-0.0001,-9.999999999999999e-05,
DOGE,ranging,indicator,MACD_signal,5495,-0.0001,-0.0,-9.887170154686079e-05,
DOGE,ranging,indicator,MACD_hist,5495,-0.0,-0.0,0.0,
