timestamp,event_type,symbol,data
22:54:09.060,tsl_create,DOGE-USDT,regime=ranging | entry=0.1543 | side=short | min_hold=60.0000 | timeout=120.0000
22:54:09.060,config,DOGE-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
22:54:09.060,open,DOGE-USDT,side=short | price=0.1543 | size=1140.0000 | regime=ranging
22:54:19.516,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.1743 | min_hold=120.0000 | profit=0.0109
22:54:26.430,tsl_create,XRP-USDT,regime=ranging | entry=2.2280 | side=long | min_hold=60.0000 | timeout=120.0000
22:54:26.430,config,XRP-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
22:54:26.430,open,XRP-USDT,side=long | price=2.2280 | size=94.0000 | regime=ranging
22:54:34.280,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.4203 | min_hold=120.0000 | profit=0.0112
22:54:34.664,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=0.1372 | min_hold=120.0000 | profit=0.0022
22:54:41.881,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=0.2575 | min_hold=60.0000 | profit=-0.0013
22:54:41.881,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.5470 | min_hold=60.0000 | profit=-0.0033
22:54:41.890,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.5472 | min_hold=60.0000 | profit=-0.0029
22:54:50.910,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=0.4080 | min_hold=60.0000 | profit=-0.0013
22:54:52.354,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.7215 | min_hold=120.0000 | profit=0.0124
22:54:52.750,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=0.4386 | min_hold=60.0000 | profit=-0.0005
22:54:59.444,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.8397 | min_hold=60.0000 | profit=-0.0016
22:54:59.831,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=0.5566 | min_hold=60.0000 | profit=-0.0010
22:54:59.833,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=0.5567 | min_hold=60.0000 | profit=-0.0010
22:54:59.837,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=0.5568 | min_hold=60.0000 | profit=-0.0010
22:54:59.838,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=0.5568 | min_hold=60.0000 | profit=-0.0010
22:54:59.841,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.8463 | min_hold=60.0000 | profit=-0.0004
22:54:59.842,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.8464 | min_hold=60.0000 | profit=-0.0004
22:55:07.851,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.9798 | min_hold=60.0000 | profit=-0.0042
22:55:08.264,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.9867 | min_hold=120.0000 | profit=0.0109
22:55:08.497,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=0.9906 | min_hold=60.0000 | profit=-0.0042
22:55:08.654,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=0.7037 | min_hold=120.0000 | profit=0.0017
22:55:18.755,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.1616 | min_hold=120.0000 | profit=0.0009
22:55:18.755,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.1616 | min_hold=120.0000 | profit=0.0035
22:55:18.770,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.1618 | min_hold=120.0000 | profit=0.0022
22:55:18.770,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.1618 | min_hold=120.0000 | profit=0.0022
22:55:19.139,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.1679 | min_hold=60.0000 | profit=-0.0010
22:55:26.124,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.2844 | min_hold=120.0000 | profit=0.0114
22:55:26.538,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=1.0018 | min_hold=120.0000 | profit=0.0008
22:55:28.271,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.3202 | min_hold=120.0000 | profit=0.0009
22:55:33.866,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.4134 | min_hold=60.0000 | profit=-0.0016
22:55:38.294,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=1.1977 | min_hold=60.0000 | profit=-0.0010
22:55:38.294,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.4872 | min_hold=60.0000 | profit=-0.0016
22:55:41.331,tsl_create,BTC-USDT,regime=ranging | entry=88287.3000 | side=short | min_hold=60.0000 | timeout=120.0000
22:55:41.332,config,BTC-USDT,regime=ranging | min_holding=60.0000 | timeout=120.0000 | loss_cut=4.0000 | timeout_loss=2.0000 | tp_atr_mult=None | initial_trail=0.0200
22:55:42.150,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.5515 | min_hold=120.0000 | profit=0.0116
22:55:42.580,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=1.2691 | min_hold=120.0000 | profit=0.0005
22:55:43.142,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=1.2785 | min_hold=60.0000 | profit=-0.0021
22:55:43.972,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=1.2924 | min_hold=60.0000 | profit=-0.0021
22:55:46.336,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.6213 | min_hold=60.0000 | profit=-0.0010
22:55:48.107,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.6508 | min_hold=60.0000 | profit=-0.0010
22:55:48.963,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.6651 | min_hold=60.0000 | profit=-0.0010
22:56:00.592,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.8589 | min_hold=120.0000 | profit=0.0113
22:56:01.014,tsl_check,XRP-USDT,check=min_holding_BLOCKED | minutes=1.5764 | min_hold=120.0000 | profit=0.0009
22:56:02.711,tsl_check,DOGE-USDT,check=min_holding_BLOCKED | minutes=1.8942 | min_hold=60.0000 | profit=-0.0020
